"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1522","test_sauselab_multiple[get_sause_data4]","testcases","Fri May 02 22:28:56 IST 2025","passed","Fri May 02 22:28:57 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1592","test_sauselab_multiple[get_sause_data5]","testcases","Fri May 02 22:29:01 IST 2025","passed","Fri May 02 22:29:03 IST 2025","Test_SampleFunctionality","test_sample","",""
"","6516","test_sauselab_multiple[get_sause_data3]","testcases","Fri May 02 22:28:45 IST 2025","passed","Fri May 02 22:28:51 IST 2025","Test_SampleFunctionality","test_sample","",""
"","2","test_addition","testcases","Fri May 02 22:28:08 IST 2025","passed","Fri May 02 22:28:08 IST 2025","Test_SampleFunctionality","test_sample","",""
"","4727","test_inputfield_validations","testcases","Fri May 02 22:27:56 IST 2025","passed","Fri May 02 22:28:00 IST 2025","Test_Input_Field_Fn","test_input_fields_fn","",""
"","0","test_example_counter","testcases","Fri May 02 22:28:16 IST 2025","passed","Fri May 02 22:28:16 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1949","test_samplescript[getData0]","testcases","Fri May 02 22:28:02 IST 2025","passed","Fri May 02 22:28:04 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1406","test_sauselab_multiple[get_sause_data2]","testcases","Fri May 02 22:28:39 IST 2025","passed","Fri May 02 22:28:41 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1588","test_sauselab_multiple[get_sause_data1]","testcases","Fri May 02 22:28:34 IST 2025","passed","Fri May 02 22:28:35 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1542","test_sauselab_multiple[get_sause_data0]","testcases","Fri May 02 22:28:28 IST 2025","passed","Fri May 02 22:28:30 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1","test_failure_case","testcases","Fri May 02 22:28:12 IST 2025","failed","Fri May 02 22:28:12 IST 2025","Test_SampleFunctionality","test_sample","",""
"","4574","test_sauselabdemo","testcases","Fri May 02 22:28:20 IST 2025","passed","Fri May 02 22:28:24 IST 2025","Test_SampleFunctionality","test_sample","",""
